datelat_pcScaled Radstand dev
   2457357.5000      6.0000      0.3073      0.2391
   2457357.5000      7.0000      0.4326      0.2385
   2457368.5000     -7.0000      0.0720      0.0421
   2457368.5000     -6.0000      0.0476      0.0230
   2457368.5000     -5.0000      0.0324      0.0116
   2457368.5000     -4.0000      0.0271      0.0089
   2457368.5000     -3.0000      0.0262      0.0090
   2457368.5000     -2.0000      0.0266      0.0098
   2457368.5000     -1.0000      0.0276      0.0105
   2457368.5000      0.0000      0.0282      0.0113
   2457368.5000      1.0000      0.0298      0.0120
   2457368.5000      2.0000      0.0333      0.0137
   2457368.5000      3.0000      0.0418      0.0208
   2457368.5000      4.0000      0.0627      0.0509
   2457368.5000      5.0000      0.1149      0.1064
   2457368.5000      6.0000      0.2075      0.1639
   2457368.5000      7.0000      0.2919      0.1797
   2457369.5000     -7.0000      0.0768      0.0357
   2457369.5000     -6.0000      0.0463      0.0176
   2457369.5000     -5.0000      0.0329      0.0117
   2457369.5000     -4.0000      0.0292      0.0100
   2457369.5000     -3.0000      0.0293      0.0116
   2457369.5000     -2.0000      0.0286      0.0105
   2457369.5000     -1.0000      0.0288      0.0106
   2457369.5000      0.0000      0.0309      0.0118
   2457369.5000      1.0000      0.0340      0.0147
   2457369.5000      2.0000      0.0383      0.0155
   2457369.5000      3.0000      0.0469      0.0214
   2457369.5000      4.0000      0.0781      0.0444
   2457369.5000      5.0000      0.1703      0.1348
   2457369.5000      6.0000      0.2744      0.2120
   2457369.5000      7.0000      0.3560      0.1944
   2457370.5000     -7.0000      0.0724      0.0355
   2457370.5000     -6.0000      0.0413      0.0174
   2457370.5000     -5.0000      0.0300      0.0109
   2457370.5000     -4.0000      0.0272      0.0093
   2457370.5000     -3.0000      0.0268      0.0095
   2457370.5000     -2.0000      0.0264      0.0100
   2457370.5000     -1.0000      0.0269      0.0107
   2457370.5000      0.0000      0.0282      0.0115
   2457370.5000      1.0000      0.0304      0.0132
   2457370.5000      2.0000      0.0346      0.0158
   2457370.5000      3.0000      0.0415      0.0211
   2457370.5000      4.0000      0.0614      0.0377
   2457370.5000      5.0000      0.1256      0.1070
   2457370.5000      6.0000      0.2240      0.1772
   2457370.5000      7.0000      0.2967      0.1859
   2457374.5000     -7.0000      0.0704      0.0342
   2457374.5000     -6.0000      0.0398      0.0160
   2457374.5000     -5.0000      0.0302      0.0109
   2457374.5000     -4.0000      0.0275      0.0092
   2457374.5000     -3.0000      0.0264      0.0079
   2457374.5000     -2.0000      0.0266      0.0088
   2457374.5000     -1.0000      0.0269      0.0090
   2457374.5000      0.0000      0.0282      0.0101
   2457374.5000      1.0000      0.0311      0.0117
   2457374.5000      2.0000      0.0355      0.0154
   2457374.5000      3.0000      0.0439      0.0238
   2457374.5000      4.0000      0.0652      0.0438
   2457374.5000      5.0000      0.1209      0.1080
   2457374.5000      6.0000      0.2046      0.1802
   2457374.5000      7.0000      0.2659      0.1830
   2457380.5000     -7.0000      0.0773      0.0401
   2457380.5000     -6.0000      0.0438      0.0198
   2457380.5000     -5.0000      0.0320      0.0134
   2457380.5000     -4.0000      0.0293      0.0124
   2457380.5000     -3.0000      0.0278      0.0103
   2457380.5000     -2.0000      0.0276      0.0107
   2457380.5000     -1.0000      0.0282      0.0108
   2457380.5000      0.0000      0.0291      0.0113
   2457380.5000      1.0000      0.0309      0.0117
   2457380.5000      2.0000      0.0365      0.0148
   2457380.5000      3.0000      0.0438      0.0193
   2457380.5000      4.0000      0.0733      0.0415
   2457380.5000      5.0000      0.1705      0.1261
   2457380.5000      6.0000      0.2933      0.2082
   2457380.5000      7.0000      0.3683      0.1998
   2457385.5000     -7.0000      0.0745      0.0384
   2457385.5000     -6.0000      0.0413      0.0163
   2457385.5000     -5.0000      0.0305      0.0105
   2457385.5000     -4.0000      0.0276      0.0093
   2457385.5000     -3.0000      0.0268      0.0092
   2457385.5000     -2.0000      0.0266      0.0091
   2457385.5000     -1.0000      0.0269      0.0095
   2457385.5000      0.0000      0.0283      0.0099
   2457385.5000      1.0000      0.0315      0.0120
   2457385.5000      2.0000      0.0347      0.0134
